,name,volume,market_cap,floor_price,Avg_price,sales,assets,owners,owners_per
0,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
1,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
2,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
3,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
4,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
5,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
6,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
7,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
8,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
9,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
10,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
11,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
12,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
13,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
14,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
15,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
16,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
17,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
18,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
19,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
20,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
21,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
22,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
23,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
24,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
25,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
26,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
27,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
28,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
29,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
30,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
31,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
32,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
33,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
34,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
35,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
36,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
37,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
38,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
39,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
40,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
41,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
42,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
43,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
44,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
45,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
46,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
47,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
48,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
49,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
50,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
51,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
52,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
53,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
54,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
55,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
56,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
57,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
58,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
59,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
60,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
61,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
62,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
63,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
64,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
65,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
66,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
67,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
68,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
69,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
70,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
71,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
72,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
73,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
74,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
75,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
76,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
77,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
78,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
79,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
80,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
81,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
82,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
83,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
84,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
85,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
86,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
87,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
88,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
89,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
90,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
91,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
92,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
93,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
94,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
95,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
96,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
97,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
98,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
99,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
100,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
101,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
102,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
103,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
104,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
105,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
106,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
107,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
108,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
109,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
110,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
111,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
112,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
113,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
114,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
115,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
116,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
117,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
118,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
119,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
120,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
121,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
122,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
123,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
124,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
125,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
126,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
127,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
128,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
129,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
130,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
131,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
132,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
133,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
134,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
135,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
136,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
137,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
138,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
139,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
140,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
141,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
142,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
