,name,volume,market_cap,floor_price,Avg_price,sales,assets,owners,owners_per
143,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
144,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
145,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
146,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
147,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
148,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
149,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
150,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
151,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
152,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
153,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
154,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
155,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
156,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
157,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
158,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
159,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
160,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
161,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
162,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
163,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
164,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
165,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
166,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
167,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
168,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
169,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
170,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
171,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
172,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
173,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
174,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
175,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
176,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
177,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
178,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
179,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
180,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
181,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
182,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
183,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
184,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
185,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
186,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
187,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
188,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
189,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
190,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
191,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
192,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
193,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
194,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
195,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
196,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
197,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
198,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
199,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
200,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
201,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
202,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
203,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
204,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
205,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
206,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
207,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
208,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
209,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
210,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
211,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
212,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
213,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
214,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
215,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
216,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
217,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
218,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
219,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
220,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
221,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
222,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
223,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
224,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
225,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
226,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
227,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
228,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
229,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
230,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
231,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
232,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
233,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
234,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
235,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
236,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
237,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
238,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
239,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
240,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
241,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
242,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
243,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
244,PudgyPresent,Ethereum,8.1539 ETH,85.44%,"2,567.45 ETH",0.38 ETH,0.6272 ETH,13,71.17%
245,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
246,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
247,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
248,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
249,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
250,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
251,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
252,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
253,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
254,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
255,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
256,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
257,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
258,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
259,Wolf Capital,Solana,767.39 SOL,9.15%,"41,301.87 SOL",4.958 SOL,5.185 SOL,148,38.50%
260,MERGE VV,Ethereum,8.3744 ETH,35.16%,626.23 ETH,0.028 ETH,0.02878 ETH,291,9.98%
261,Owlpha,Polygon,"16,709.25 MATIC",24.76%,"1,782,223.43 MATIC",409.33 MATIC,596.76 MATIC,28,15.85%
262,Taiyo Pilots,Solana,751.68 SOL,7.51%,"153,002.94 SOL",8.07 SOL,8.352 SOL,90,54.69%
263,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
264,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
265,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
266,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
267,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
268,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
269,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
270,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
271,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
272,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
273,The Llamas,Ethereum,10.16 ETH,129.35%,"1,779.69 ETH",2.19 ETH,2.032 ETH,5,8.26%
274,PORSCHΞ 911,Ethereum,10.14 ETH,18.03%,"1,985.87 ETH",0.9994 ETH,1.1271 ETH,9,9.29%
275,The Shards,Ethereum,10.06 ETH,1005.57%,"1,395.94 ETH",0.44 ETH,0.6288 ETH,16,38.20%
276,MONGS,Ethereum,9.911 ETH,20.33%,"2,108.82 ETH",0.2295 ETH,0.2417 ETH,41,4.79%
277,The Plague,Ethereum,9.9028 ETH,232.61%,"3,242.8 ETH",0.35 ETH,0.3301 ETH,30,22.39%
278,ENS,Ethereum,9.6782 ETH,0.29%,"461,005.06 ETH",--,0.06204 ETH,156,1.63%
279,RSTLSS x Claire Silver,Ethereum,9.3566 ETH,58.11%,461.38 ETH,0.119 ETH,0.2752 ETH,34,34.28%
280,Link3 Mini Shard,BNB Chain,54.31 BNB,17.85%,0.1656 BNB,0.0189 BNB,0.122 BNB,445,49.36%
281,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
282,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
283,Cool Cats,Ethereum,8.8708 ETH,59.80%,"6,481.24 ETH",0.881 ETH,0.9856 ETH,9,7.21%
284,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
285,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9297 ETH,0.9633 ETH,9,11.73%
